pin_number,sw_matrix_pin_number,pin_name
1.0,92.0,VSS
2.0,,EN
3.0,,CLK
4.0,,DATA_SBUS6
5.0,,SBUS5
6.0,,SBUS4
7.0,,SBUS3
8.0,,SBUS2
9.0,,SBUS1
10.0,1.0,DCC1_P_G_L_CS
11.0,2.0,DCC1_P_G_L_CC
12.0,3.0,DCC1_P_G_R_CS
13.0,91.0,VDD
13.0,91.0,VDD
13.0,91.0,VDD
14.0,4.0,DCC1_P_G_R_CC
15.0,5.0,DCC1_P_D_L_CS
16.0,6.0,DCC1_P_D_L_CC
17.0,7.0,DCC1_P_D_R_CS
18.0,8.0,DCC1_P_D_R_CC
19.0,9.0,DCC2_P_G_L_CS
20.0,10.0,DCC2_P_G_L_CC
21.0,11.0,DCC2_P_G_R_CS
22.0,12.0,DCC2_P_G_R_CC
23.0,13.0,DCC2_P_D_L_CS
24.0,14.0,DCC2_P_D_L_CC
25.0,15.0,DCC2_P_D_R_CS
,92.0,
26.0,16.0,DCC2_P_D_R_CC
27.0,17.0,DCC3_P_G_L_CS
28.0,18.0,DCC3_P_G_L_CC
29.0,19.0,DCC3_P_G_R_CS
30.0,20.0,DCC3_P_G_R_CC
31.0,21.0,DCC3_P_D_L_CS
32.0,22.0,DCC3_P_D_L_CC
33.0,23.0,DCC3_P_D_R_CS
34.0,24.0,DCC3_P_D_R_CC
35.0,25.0,OTA_P_INP
36.0,26.0,OTA_P_INN
37.0,27.0,OTA_P_OUT
38.0,28.0,OTA_N_INP
39.0,29.0,OTA_N_INN
40.0,30.0,OTA_N_OUT
41.0,31.0,CC_P_G_CS
42.0,32.0,CC_P_G_CC
43.0,33.0,CC_P_D_CS
44.0,34.0,CC_P_D_CC
45.0,35.0,CC_N_G_CC
46.0,36.0,CC_N_G_CS
47.0,37.0,CC_N_D_CC
48.0,38.0,CC_N_D_CS
49.0,39.0,DINV2_INP_L
50.0,40.0,DINV2_INN_L
,92.0,
,92.0,
51.0,41.0,DINV2_OUT_L
52.0,42.0,DINV2_INP_R
53.0,43.0,DINV2_INN_R
54.0,44.0,DINV2_OUT_R
55.0,45.0,DINV1_INP_L
56.0,46.0,DINV1_INN_L
57.0,47.0,DINV1_OUT_L
58.0,48.0,DINV1_INP_R
59.0,49.0,DINV1_INN_R
60.0,50.0,DINV1_OUT_R
61.0,51.0,DCC4_N_G_L_CC
62.0,52.0,DCC4_N_G_L_CS
63.0,53.0,DCC4_N_G_R_CC
64.0,54.0,DCC4_N_G_R_CS
65.0,55.0,DCC4_N_D_L_CC
66.0,56.0,DCC4_N_D_L_CS
67.0,57.0,DCC4_N_D_R_CC
68.0,58.0,DCC4_N_D_R_CS
69.0,59.0,DCC3_N_G_L_CC
70.0,60.0,DCC3_N_G_L_CS
71.0,61.0,DCC3_N_G_R_CC
72.0,62.0,DCC3_N_G_R_CS
73.0,63.0,DCC3_N_D_L_CC
74.0,64.0,DCC3_N_D_L_CS
75.0,65.0,DCC3_N_D_R_CC
,92.0,
,92.0,
76.0,66.0,DCC3_N_D_R_CS
77.0,67.0,DCC2_N_G_L_CC
78.0,68.0,DCC2_N_G_L_CS
79.0,69.0,DCC2_N_G_R_CC
80.0,70.0,DCC2_N_G_R_CS
81.0,71.0,DCC2_N_D_L_CC
82.0,72.0,DCC2_N_D_L_CS
83.0,73.0,DCC2_N_D_R_CC
84.0,74.0,DCC2_N_D_R_CS
85.0,75.0,DCC1_N_G_L_CC
86.0,76.0,DCC1_N_G_L_CS
87.0,77.0,DCC1_N_G_R_CC
88.0,78.0,DCC1_N_G_R_CS
89.0,79.0,DCC1_N_D_L_CC
90.0,80.0,DCC1_N_D_L_CS
91.0,81.0,DCC1_N_D_R_CC
92.0,82.0,DCC1_N_D_R_CS
93.0,83.0,DCC4_P_G_L_CC
94.0,84.0,DCC4_P_G_L_CS
95.0,85.0,DCC4_P_G_R_CC
96.0,86.0,DCC4_P_G_R_CS
97.0,87.0,DCC4_P_D_L_CC
98.0,88.0,DCC4_P_D_L_CS
99.0,89.0,DCC4_P_D_R_CC
100.0,90.0,DCC4_P_D_R_CS
,92.0,
